guild_name,guild_id,channel_id,category_id
cabal,7020296c861516dc203dd278d11d2b3d0b8bc9c199d39e2bff472074d24671ad,11e2b99af95b4c774c18f2bda9008b09b78111040fe7ba715c1f7a77cc4b2839,
testing,f53f84ce942d2681cf80a066a19d82d344a1fb6157b6616556850467a5a2aeef,7ccdc955326eac4cf58ef9c0a4c3ebfae209d2ebd82dc7ab728389342f961fb3,
cabal,7020296c861516dc203dd278d11d2b3d0b8bc9c199d39e2bff472074d24671ad,45f0188ed6ee4dae7a582ca6d8a9bfb99c1f88dae49adc01ea770b3374914c41,
cabal,7020296c861516dc203dd278d11d2b3d0b8bc9c199d39e2bff472074d24671ad,34d7b93120f12934f4bf3d22781b5184d1518b2028fd7c5c0cb295bc977be4d0,
cabal,7020296c861516dc203dd278d11d2b3d0b8bc9c199d39e2bff472074d24671ad,37c37c39ce4aff17d0c9f4db733f4874fdfc8bde7c4778bd25db52f1c26c542a,
cabal,7020296c861516dc203dd278d11d2b3d0b8bc9c199d39e2bff472074d24671ad,91c7656ef47bc30e571900338b6f49c399cf289aefb468c2c11f81efe6cc6ed5,
cabal,7020296c861516dc203dd278d11d2b3d0b8bc9c199d39e2bff472074d24671ad,ddf96b94fd074d290631c8a5beffa78c47bef29527a06679d581e62c3d4d233b,
cabal,7020296c861516dc203dd278d11d2b3d0b8bc9c199d39e2bff472074d24671ad,196a71acadd30312e1eeb9be1301a4700d6e3f0339d97a40b93ebb2ea83438a3,
cabal,7020296c861516dc203dd278d11d2b3d0b8bc9c199d39e2bff472074d24671ad,5f8e6a2d1306d27f03db0812ca16f1f62749f20641c9e0d1bc8aea50403994dd,
cabal,7020296c861516dc203dd278d11d2b3d0b8bc9c199d39e2bff472074d24671ad,c4e35ad49903cae73fcacb0f292c5b10e42509b5fc579d7262875ac3e31d973c,
cabal,7020296c861516dc203dd278d11d2b3d0b8bc9c199d39e2bff472074d24671ad,a6fc3dc1d0b450b09f006b101547be0280cd59417437c60ed204d8cba1fdd4d4,
cabal,7020296c861516dc203dd278d11d2b3d0b8bc9c199d39e2bff472074d24671ad,,6dbea98e2b080eb7b630df40b14b8f460f97ef8dbf0789cd7323041f7c747717
